company,bucket,website,city,size_estimate,decision_maker,email,linkedin_instagram,product_trigger,why_cgi,visual_weakness,proposed_offer,estimated_budget,priority_score,portfolio_link,first_message_sent,follow_up_1,follow_up_2,status,notes
Angry Beards,A,https://www.angrybeards.cz,Trebic,80,Tomas Cech (founder),media@angrybeards.cz,instagram.com/angrybeards,New SKU / seasonal drops,Mens grooming launches need bold hero visuals and social loops,Mostly photo-led; CGI could elevate premium SKUs,Launch pack,40k,5,https://richardandrys.com/?audience=brand,,,,new,Strong fit - own products + active social
BeWooden,A,https://www.bewooden.cz,Frycovice,30,Ctirad Sara (founder / marketing),info@bewooden.cz,linkedin.com/company/bewooden,Summer / charity campaigns,Handmade products benefit from stylized CGI stories,In-house marketing but room for product motion,Product visual sprint,30k,4,https://richardandrys.com/?audience=brand,,,,new,In-house team - pitch as overflow for launch
MOVit Energy,A,https://movitenergy.cz,Praha,15,Marketing team,dotazy@movitenergy.cz,instagram.com/movitenergy,Fast-growing supplement line,New products need e-shop heroes without reshoots,Functional packs; motion loops for Meta ads,Launch pack,35k,5,https://richardandrys.com/?audience=brand,,,,new,Fast growth brand
Uprazeno,A,https://www.uprazeno.cz,Frydek-Mistek,25,Adela Ladman (ops and marketing),adela@uprazeno.cz,instagram.com/uprazeno,New roastery / subscription push,Coffee subscription campaigns need strong key visuals,Active social but mostly photo/video of roasting,Product visual sprint,25k,5,https://richardandrys.com/?audience=brand,,,,new,Named contact - subscription visuals
Nordbeans,A,https://www.nordbeans.com,Liberec,40,Barbora Paterova (marketing manager),barbora.paterova@nordbeans.cz,instagram.com/nordbeans,Premium coffee SKUs,Specialty coffee needs premium packshot-level CGI,Clean brand but product CGI could lift e-shop,Product visual sprint,30k,4,https://richardandrys.com/?audience=brand,,,,new,Public marketing contact
Prazirna Ignac,A,https://www.prazirnaignac.cz,Praha,10,Katerina Vankova (marketing),info@prazirnaignac.cz,instagram.com/prazirnaignac,UGC + Black Friday growth,Proven appetite for content innovation,Mix of UGC and photo - CGI hero could differentiate,Launch pack,30k,4,https://richardandrys.com/?audience=brand,,,,new,Invests in content
BrainMarket,A,https://brainmarket.cz,Praha,50,Marketing / BrainMax line,objednavky@brainmarket.cz,instagram.com/brainmarket,BrainMax product launches,Supplement e-shop with constant new SKUs,Heavy catalog - premium CGI for hero products,Launch pack,40k,4,https://richardandrys.com/?audience=brand,,,,new,Target specific SKU
Bagind,A,https://bagind.cz,Praha,30,Marketing team,info@bagind.cz,instagram.com/bagind,New bag collections,Fashion accessories need campaign visuals,Mostly lifestyle photo - product CGI for ads,Product visual sprint,30k,4,https://richardandrys.com/?audience=brand,,,,new,Design bags
Doubleshot,A,https://www.doubleshot.cz,Praha,20,Marketing,info@doubleshot.cz,instagram.com/doubleshotcz,Cold brew / RTD drinks,Beverage brand - strong CGI parallel to Haya project,Photo-led - CGI cans for campaigns,Launch pack,30k,5,https://richardandrys.com/?audience=brand,,,,new,Direct parallel to Haya
KLOKI,A,https://www.kloki.cz,Praha,20,Marketing,info@kloki.cz,instagram.com/kloki_watches,Watch collections,Product-led brand - perfect for CGI hero shots,Good photos but CGI motion for social,Product visual sprint,30k,4,https://richardandrys.com/?audience=brand,,,,new,Physical product focus
Foxy,B,https://www.foxy.cz,Brno,25,Kristyna Ferova (social / influencer),info@foxy.cz,linkedin.com/company/foxy-cz,Client campaigns,Already uses freelancers for content - 3D overflow,No in-house 3D - partner pitch,Agency 3D support,30k,5,https://richardandrys.com/?audience=agency,,,,new,UGC client work - 3D partner angle
Motionhouse,B,https://www.motionhouse.cz,Brno,10,Studio,hello@motionhouse.cz,linkedin.com/company/motionhouse-cz,Animation projects,Small studio - may subcontract overflow,Animation studio - collab not compete,Agency 3D support,25k,4,https://richardandrys.com/?audience=agency,,,,new,Peer studio overflow
32b,B,https://32b.cz,Praha,15,Studio contact,info@32b.cz,instagram.com/32b.studio,3D / archviz projects,3D collective - product or VFX overflow,Full-service but small team,Agency 3D support,30k,4,https://richardandrys.com/?audience=agency,,,,new,Subcontract angle
Bistro Social,B,https://www.bistrosocial.cz,Praha,20,Studio lead,info@bistrosocial.cz,instagram.com/bistrosocial,Social content for brands,Social-first agency - product motion loops,No dedicated 3D bench,Agency 3D support,25k,4,https://richardandrys.com/?audience=agency,,,,new,Social content studio
